File ID,Rep ID,Spp,Orig Temp,Treatment ,,Count,,,Date,,,,,,,,
PcD_200522,R6,PcD,C,23,,"35,506",,,20/05/2022,,,,,,,,
PcD_200522,R1,PcD,C,27,,"69,580",,,20/05/2022,,,,,,,,
PcD_200522,R2,PcD,C,27,,"69,438",,,20/05/2022,,,,,,,,
PcD_200522,R3,PcD,C,27,,"47,504",,,20/05/2022,,,,,,,,
PcD_200522,R4,PcD,C,27,,"34,798",,,20/05/2022,,,,,,,,
PcD_200522,R5,PcD,C,27,,"2,530",,,20/05/2022,,,,,,,,
PcD_200522,R6,PcD,C,27,,"14,819",,,20/05/2022,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
