File ID,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,,Cell,,,,
PcD_Recip_T5_080222,R2,PcD,23c,recip,27,T5,"51,531",1,51531,,,,,,B02,,,,
PcD_Recip_T5_080222,R3,PcD,23c,recip,27,T5,"53,247",1,53247,,,,,,B03,,,,
PcD_Recip_T5_080222,R4,PcD,23c,recip,27,T5,"53,496",1,53496,,,,,,B04,,,,
PcD_Recip_T5_080222,R5,PcD,23c,recip,27,T5,"59,591",1,59591,,,,,,B05,,,,
PcD_Recip_T5_080222,R6,PcD,23c,recip,27,T5,"4,503",1,4503,,,,,,B06,,,,
PcD_Recip_T5_080222,R1,PcD,27c,recip,23,T5,"4,383",1,4383,,,,,,B07,,,,
PcD_Recip_T5_080222,R2,PcD,27c,recip,23,T5,"6,917",1,6917,,,,,,B08,,,,
PcD_Recip_T5_080222,R3,PcD,27c,recip,23,T5,"9,406",1,9406,,,,,,B09,,,,
PcD_Recip_T5_080222,R4,PcD,27c,recip,23,T5,"7,562",1,7562,,,,,,B10,,,,
PcD_Recip_T5_080222,R5,PcD,27c,recip,23,T5,"5,871",1,5871,,,,,,B11,,,,
PcD_Recip_T5_080222,R6,PcD,27c,recip,23,T5,"10,373",1,10373,,,,,,B12,,,,
PcD_Recip_T6_090222,R1,PcD,23c,Control,,T6,"32,585",1,32585,,,,,,A01,,,,
PcD_Recip_T6_090222,R2,PcD,23c,Control,,T6,"10,551",1,10551,,,,,,A02,,,,
PcD_Recip_T6_090222,R3,PcD,23c,Control,,T6,"20,385",1,20385,,,,,,A03,,,,
PcD_Recip_T6_090222,R4,PcD,23c,Control,,T6,"33,583",1,33583,,,,,,A04,,,,
PcD_Recip_T6_090222,R5,PcD,23c,Control,,T6,"35,654",1,35654,,,,,,A05,,,,
PcD_Recip_T6_090222,R6,PcD,23c,Control,,T6,"36,320",1,36320,,,,,,A06,,,,
PcD_Recip_T6_090222,R1,PcD,27c,Control,,T6,"103,952",1,103952,,,,,,A07,,,,
PcD_Recip_T6_090222,R2,PcD,27c,Control,,T6,"92,538",1,92538,,,,,,A08,,,,
PcD_Recip_T6_090222,R3,PcD,27c,Control,,T6,"88,498",1,88498,,,,,,A09,,,,
PcD_Recip_T6_090222,R4,PcD,27c,Control,,T6,"85,006",1,85006,,,,,,A10,,,,
PcD_Recip_T6_090222,R5,PcD,27c,Control,,T6,"106,501",1,106501,,,,,,A11,,,,
PcD_Recip_T6_090222,R6,PcD,27c,Control,,T6,"2,337",1,2337,,,,,,A12,,,,
PcD_Recip_T6_090222,R1,PcD,23c,recip,27,T6,"88,206",1,88206,,,,,,B01,,,,
PcD_Recip_T6_090222,R2,PcD,23c,recip,27,T6,"81,188",1,81188,,,,,,B02,,,,
PcD_Recip_T6_090222,R3,PcD,23c,recip,27,T6,"82,163",1,82163,,,,,,B03,,,,
PcD_Recip_T6_090222,R4,PcD,23c,recip,27,T6,"83,753",1,83753,,,,,,B04,,,,
PcD_Recip_T6_090222,R5,PcD,23c,recip,27,T6,"68,593",1,68593,,,,,,B05,,,,
PcD_Recip_T6_090222,R6,PcD,23c,recip,27,T6,"8,961",1,8961,,,,,,B06,,,,
PcD_Recip_T6_090222,R1,PcD,27c,recip,23,T6,,1,0,,,,,,B07,,,,
PcD_Recip_T6_090222,R2,PcD,27c,recip,23,T6,,1,0,,,,,,B08,,,,
PcD_Recip_T6_090222,R3,PcD,27c,recip,23,T6,,1,0,,,,,,B09,,,,
PcD_Recip_T6_090222,R4,PcD,27c,recip,23,T6,,1,0,,,,,,B10,,,,
PcD_Recip_T6_090222,R5,PcD,27c,recip,23,T6,,1,0,,,,,,B11,,,,
PcD_Recip_T6_090222,R6,PcD,27c,recip,23,T6,,1,0,,,,,,B12,,,,
PcD_Recip_T7_100222,R1,PcD,23c,Control,,T7,"53,719",1,53719,,,,,,A01,,,,
PcD_Recip_T7_100222,R2,PcD,23c,Control,,T7,"16,516",1,16516,,,,,,A02,,,,
PcD_Recip_T7_100222,R3,PcD,23c,Control,,T7,"32,356",1,32356,,,,,,A03,,,,
PcD_Recip_T7_100222,R4,PcD,23c,Control,,T7,"52,457",1,52457,,,,,,A04,,,,
PcD_Recip_T7_100222,R5,PcD,23c,Control,,T7,"55,530",1,55530,,,,,,A05,,,,
PcD_Recip_T7_100222,R6,PcD,23c,Control,,T7,"55,454",1,55454,,,,,,A06,,,,
PcD_Recip_T7_100222,R1,PcD,27c,Control,,T7,"153,872",1,153872,,,,,,A07,,,,
PcD_Recip_T7_100222,R2,PcD,27c,Control,,T7,"135,794",1,135794,,,,,,A08,,,,
PcD_Recip_T7_100222,R3,PcD,27c,Control,,T7,"159,079",1,159079,,,,,,A09,,,,
PcD_Recip_T7_100222,R4,PcD,27c,Control,,T7,"154,318",1,154318,,,,,,A10,,,,
PcD_Recip_T7_100222,R5,PcD,27c,Control,,T7,"162,738",1,162738,,,,,,A11,,,,
PcD_Recip_T7_100222,R6,PcD,27c,Control,,T7,"2,878",1,2878,,,,,,A12,,,,
PcD_Recip_T7_100222,R1,PcD,23c,recip,27,T7,"166,404",1,166404,,,,,,B01,,,,
PcD_Recip_T7_100222,R2,PcD,23c,recip,27,T7,"145,812",1,145812,,,,,,B02,,,,
PcD_Recip_T7_100222,R3,PcD,23c,recip,27,T7,"157,530",1,157530,,,,,,B03,,,,
PcD_Recip_T7_100222,R4,PcD,23c,recip,27,T7,"149,506",1,149506,,,,,,B04,,,,
PcD_Recip_T7_100222,R5,PcD,23c,recip,27,T7,"157,383",1,157383,,,,,,B05,,,,
PcD_Recip_T7_100222,R6,PcD,23c,recip,27,T7,"12,176",1,12176,,,,,,B06,,,,
PcD_Recip_T7_100222,R1,PcD,27c,recip,23,T7,"5,726",1,5726,,,,,,B07,,,,
PcD_Recip_T7_100222,R2,PcD,27c,recip,23,T7,"9,981",1,9981,,,,,,B08,,,,
PcD_Recip_T7_100222,R3,PcD,27c,recip,23,T7,"12,428",1,12428,,,,,,B09,,,,
PcD_Recip_T7_100222,R4,PcD,27c,recip,23,T7,"10,001",1,10001,,,,,,B10,,,,
PcD_Recip_T7_100222,R5,PcD,27c,recip,23,T7,"13,003",1,13003,,,,,,B11,,,,
PcD_Recip_T7_100222,R6,PcD,27c,recip,23,T7,"17,329",1,17329,,,,,,B12,,,,
PcD_Recip_T8_110222,R1,PcD,23c,Control,,T8,"94,164",1,94164,,,,,,A01,,,,
PcD_Recip_T8_110222,R2,PcD,23c,Control,,T8,"28,620",1,28620,,,,,,A02,,,,
PcD_Recip_T8_110222,R3,PcD,23c,Control,,T8,"57,127",1,57127,,,,,,A03,,,,
PcD_Recip_T8_110222,R4,PcD,23c,Control,,T8,"90,326",1,90326,,,,,,A04,,,,
PcD_Recip_T8_110222,R5,PcD,23c,Control,,T8,"96,237",1,96237,,,,,,A05,,,,
PcD_Recip_T8_110222,R6,PcD,23c,Control,,T8,"97,456",1,97456,,,,,,A06,,,,
PcD_Recip_T8_110222,R1,PcD,27c,Control,,T8,"43,713",10,437130,,,,,,A07,,,,
PcD_Recip_T8_110222,R2,PcD,27c,Control,,T8,"51,943",10,519430,,,,,,A08,,,,
PcD_Recip_T8_110222,R3,PcD,27c,Control,,T8,"42,277",10,422770,,,,,,A09,,,,
PcD_Recip_T8_110222,R4,PcD,27c,Control,,T8,"37,809",10,378090,,,,,,A10,,,,
