File ID ,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,Cell
PcB_Recip_T12_150222,R1,PcB,23c,Control,,T12,"28,009",100,2800900,A01
PcB_Recip_T12_150222,R2,PcB,23c,Control,,T12,"24,436",100,2443600,A02
PcB_Recip_T12_150222,R3,PcB,23c,Control,,T12,"29,311",100,2931100,A03
PcB_Recip_T12_150222,R4,PcB,23c,Control,,T12,"26,637",100,2663700,A04
PcB_Recip_T12_150222,R5,PcB,23c,Control,,T12,"28,778",100,2877800,A05
PcB_Recip_T12_150222,R6,PcB,23c,Control,,T12,"28,326",100,2832600,A06
PcB_Recip_T12_150222,R1,PcB,29c,Control,,T12,"74,637",10,746370,A07
PcB_Recip_T12_150222,R2,PcB,29c,Control,,T12,"69,860",10,698600,A08
PcB_Recip_T12_150222,R3,PcB,29c,Control,,T12,"43,993",10,439930,A09
PcB_Recip_T12_150222,R4,PcB,29c,Control,,T12,"73,817",10,738170,A10
PcB_Recip_T12_150222,R5,PcB,29c,Control,,T12,"58,310",10,583100,A11
PcB_Recip_T12_150222,R6,PcB,29c,Control,,T12,"31,246",10,312460,A12
PcB_Recip_T12_150222,R1,PcB,23c,recip,29,T12,"27,660",100,2766000,B01
PcB_Recip_T12_150222,R2,PcB,23c,recip,29,T12,"26,360",100,2636000,B02
PcB_Recip_T12_150222,R3,PcB,23c,recip,29,T12,"25,792",100,2579200,B03
PcB_Recip_T12_150222,R4,PcB,23c,recip,29,T12,"22,241",100,2224100,B04
PcB_Recip_T12_150222,R5,PcB,23c,recip,29,T12,"24,870",100,2487000,B05
PcB_Recip_T12_150222,R6,PcB,23c,recip,29,T12,"28,250",100,2825000,B06
PcB_Recip_T12_150222,R1,PcB,29c,recip,23,T12,"42,152",10,421520,B07
PcB_Recip_T12_150222,R2,PcB,29c,recip,23,T12,"30,510",10,305100,B08
PcB_Recip_T12_150222,R3,PcB,29c,recip,23,T12,"41,377",10,413770,B09
PcB_Recip_T12_150222,R4,PcB,29c,recip,23,T12,"43,583",10,435830,B10
PcB_Recip_T12_150222,R5,PcB,29c,recip,23,T12,"48,351",10,483510,B11
PcB_Recip_T12_150222,R6,PcB,29c,recip,23,T12,"50,857",10,508570,B12
PcB_Recip_T13_160222,R1,PcB,23c,Control,,T13,"32,095",100,3209500,A01
PcB_Recip_T13_160222,R2,PcB,23c,Control,,T13,"29,906",100,2990600,A02
PcB_Recip_T13_160222,R3,PcB,23c,Control,,T13,"33,709",100,3370900,A03
PcB_Recip_T13_160222,R4,PcB,23c,Control,,T13,"32,126",100,3212600,A04
PcB_Recip_T13_160222,R5,PcB,23c,Control,,T13,"33,401",100,3340100,A05
